Engine Speed (rpm),HC,,BIODIESEL BLEND
1500,18.2338902147971,, B100
1550,18.581175417661075,, B100
1600,19.053937947494028,, B100
1650,19.633860381861577,, B100
1700,20.30262529832937,, B100
1750,21.04191527446303,, B100
1800,21.833412887828192,, B100
1850,22.658800715990488,, B100
1900,23.499761336515544,, B100
1950,24.337977326969007,, B100
2000,25.1551312649165,, B100
2050,25.932905727923654,, B100
2100,26.65298329355611,, B100
2150,27.297046539379497,, B100
2200,27.84677804295945,, B100
2250,28.28386038186159,, B100
2300,28.589976133651568,, B100
2350,28.746807875895,, B100
2400,28.73603818615753,, B100
2450,28.539349642004787,, B100
2500,28.1384248210024,, B100
2550,27.522762529832953,, B100
2600,26.71312649164679,, B100
2650,25.73809665871123,, B100
2700,24.626252983293572,, B100
2750,23.406175417661117,, B100
2800,22.106443914081172,, B100
2850,20.75563842482103,, B100
2900,19.382338902148003,, B100
2950,18.01512529832939,, B100
3000,16.6825775656325,, B100
3050,15.413275656324627,, B100
3100,14.235799522673078,, B100
3150,13.178729116945158,, B100
3200,12.270644391408165,, B100
3250,11.540125298329404,, B100
3300,11.015751789976179,, B100
3350,10.726103818615792,, B100
3400,10.69976133651555,, B100
3450,10.965304295942754,, B100
3500,11.5513126491647,, B100
1500,26.5871121718377,, B50
1550,26.734815035799507,, B50
1600,27.173269689737438,, B50
1650,27.865662291169414,, B50
1700,28.775178997613327,, B50
1750,29.865005966587066,, B50
1800,31.098329355608552,, B50
1850,32.43833532219567,, B50
1900,33.84821002386631,, B50
1950,35.29113961813838,, B50
2000,36.7303102625298,, B50
2050,38.128908114558435,, B50
2100,39.450119331742215,, B50
2150,40.65713007159901,, B50
2200,41.713126491646754,, B50
2250,42.58129474940333,, B50
2300,43.22482100238662,, B50
2350,43.60689140811454,, B50
2400,43.690692124105006,, B50
2450,43.43940930787589,, B50
2500,42.816229116945095,, B50
2550,41.800387828162286,, B50
2600,40.43532219570405,, B50
2650,38.78051909307874,, B50
2700,36.89546539379474,, B50
2750,34.839647971360364,, B50
2800,32.67255369928399,, B50
2850,30.45366945107396,, B50
2900,28.242482100238636,, B50
2950,26.098478520286363,, B50
3000,24.081145584725498,, B50
3050,22.249970167064404,, B50
3100,20.664439140811417,, B50
3150,19.384039379474906,, B50
3200,18.46825775656321,, B50
3250,17.97658114558469,, B50
3300,17.9684964200477,, B50
3350,18.50349045346059,, B50
3400,19.641050119331723,, B50
3450,21.440662291169442,, B50
3500,23.9618138424821,, B50
1500,16.9212410501193,, B30
1550,17.555742840095448,, B30
1600,18.37374701670643,, B30
1650,19.349030429594272,, B30
1700,20.455369928400966,, B30
1750,21.666542362768517,, B30
1800,22.95632458233893,, B30
1850,24.29849343675421,, B30
1900,25.66682577565636,, B30
1950,27.035098448687386,, B30
2000,28.3770883054893,, B30
2050,29.666572195704095,, B30
2100,30.877326968973783,, B30
2150,31.983129474940366,, B30
2200,32.95775656324586,, B30
2250,33.77498508353226,, B30
2300,34.40859188544156,, B30
2350,34.832353818615786,, B30
2400,35.02004773269693,, B30
2450,34.945450477327,, B30
2500,34.582338902148,, B30
2550,33.91543854415278,, B30
2600,32.973269689737506,, B30
2650,31.7953013126492,, B30
2700,30.42100238663488,, B30
2750,28.889841885441566,, B30
2800,27.24128878281627,, B30
2850,25.514812052506,, B30
2900,23.74988066825779,, B30
2950,21.985963603818654,, B30
3000,20.262529832935602,, B30
3050,18.619048329355646,, B30
3100,17.094988066825813,, B30
3150,15.729818019093116,, B30
3200,14.563007159904569,, B30
3250,13.634024463007185,, B30
3300,12.982338902147994,, B30
3350,12.647419451074,, B30
3400,12.668735083532226,, B30
3450,13.085754773269688,, B30
3500,13.9379474940334,, B30
1500,28.3770883054893,, B20
1550,26.363887231503593,, B20
1600,24.99522673031025,, B20
1650,24.21009844868732,, B20
1700,23.94749403341285,, B20
1750,24.146405131264867,, B20
1800,24.74582338902143,, B20
1850,25.684740453460574,, B20
1900,26.902147971360336,, B20
1950,28.33703758949876,, B20
2000,29.9284009546539,, B20
2050,31.615229713603785,, B20
2100,33.336515513126464,, B20
2150,35.03124999999998,, B20
2200,36.63842482100238,, B20
2250,38.0970316229117,, B20
2300,39.346062052505985,, B20
2350,40.324507756563264,, B20
2400,40.97136038186161,, B20
2450,41.22561157517904,, B20
2500,41.0262529832936,, B20
2550,40.33354713603823,, B20
2600,39.19284009546544,, B20
2650,37.670748806682624,, B20
2700,35.83389021479719,, B20
2750,33.74888126491651,, B20
2800,31.482338902148015,, B20
2850,29.10088007159908,, B20
2900,26.67112171837712,, B20
2950,24.259680787589524,, B20
3000,21.933174224343695,, B20
3050,19.75821897374703,, B20
3100,17.801431980906937,, B20
3150,16.129430190930798,, B20
3200,14.808830548926025,, B20
3250,13.906250000000007,, B20
3300,13.488305489260153,, B20
3350,13.621613961813855,, B20
3400,14.372792362768514,, B20
3450,15.808457637231532,, B20
3500,17.9952267303103,, B20
1500,15.727923627685,, B10
1550,15.269331742243448,, B10
1600,15.257279236276839,, B10
1650,15.643078758949853,, B10
1700,16.37804295942717,, B10
1750,17.41348448687346,, B10
1800,18.700715990453414,, B10
1850,20.191050119331695,, B10
1900,21.835799522672982,, B10
1950,23.58627684964196,, B10
2000,25.393794749403302,, B10
2050,27.20966587112168,, B10
2100,28.98520286396178,, B10
2150,30.671718377088283,, B10
2200,32.22052505966586,, B10
2250,33.582935560859184,, B10
2300,34.71026252983294,, B10
2350,35.553818615751794,, B10
2400,36.06491646778045,, B10
2450,36.19486873508355,, B10
2500,35.8949880668258,, B10
2550,35.135202863961844,, B10
2600,33.95990453460624,, B10
2650,32.4321002386635,, B10
2700,30.61479713603821,, B10
2750,28.571002386634863,, B10
2800,26.363723150358013,, B10
2850,24.055966587112184,, B10
2900,21.71073985680191,, B10
2950,19.39105011933174,, B10
3000,17.1599045346062,, B10
3050,15.080310262529823,, B10
3100,13.215274463007145,, B10
3150,11.627804295942703,, B10
3200,10.380906921241028,, B10
3250,9.537589498806657,, B10
3300,9.160859188544128,, B10
3350,9.313723150357971,, B10
3400,10.059188544152727,, B10
3450,11.460262529832924,, B10
3500,13.5799522673031,, B10
1500,33.0310262529833,, B00
1550,31.862291169451094,, B00
1600,31.327923627684985,, B00
1650,31.363007159904555,, B00
1700,31.902625298329383,, B00
1750,32.88186157517902,, B00
1800,34.23579952267306,, B00
1850,35.89952267303106,, B00
1900,37.80811455847258,, B00
1950,39.896658711217206,, B00
2000,42.1002386634845,, B00
2050,44.35393794749403,, B00
2100,46.5928400954654,, B00
2150,48.75202863961813,, B00
2200,50.766587112171834,, B00
2250,52.571599045346055,, B00
2300,54.102147971360374,, B00
2350,55.29331742243435,, B00
2400,56.08019093078757,, B00
2450,56.397852028639605,, B00
2500,56.18138424821,, B00
2550,55.38854415274461,, B00
2600,54.06778042959425,, B00
2650,52.29021479713602,, B00
2700,50.12696897374701,, B00
2750,47.649164677804286,, B00
2800,44.92792362768497,, B00
2850,42.03436754176611,, B00
2900,39.03961813842482,, B00
2950,36.01479713603819,, B00
3000,33.0310262529833,, B00
3050,30.159427207637247,, B00
3100,27.471121718377105,, B00
3150,25.03723150357997,, B00
3200,22.928878281622932,, B00
3250,21.217183770883068,, B00
3300,19.973269689737485,, B00
3350,19.26825775656325,, B00
3400,19.17326968973747,, B00
3450,19.759427207637227,, B00
3500,21.0978520286396,, B00
