Engine Speed (rpm),BSFC,BIODIESEL BLEND
1500,0.521134020618557, B100
1550,0.5128283505154644, B100
1600,0.5023175257731963, B100
1650,0.48994793814433046, B100
1700,0.47606597938144396, B100
1750,0.46101804123711404, B100
1800,0.44515051546391826, B100
1850,0.4288097938144336, B100
1900,0.41234226804123764, B100
1950,0.3960943298969077, B100
2000,0.380412371134021, B100
2050,0.3656427835051549, B100
2100,0.35213195876288683, B100
2150,0.3402262886597939, B100
2200,0.33027216494845363, B100
2250,0.32261597938144326, B100
2300,0.31760412371134006, B100
2350,0.31558298969072135, B100
2400,0.31689896907216464, B100
2450,0.32189845360824715, B100
2500,0.330927835051546, B100
2550,0.344175773195876, B100
2600,0.3611999999999997, B100
2650,0.3814005154639171, B100
2700,0.4041773195876286, B100
2750,0.4289304123711337, B100
2800,0.4550597938144328, B100
2850,0.48196546391752565, B100
2900,0.5090474226804124, B100
2950,0.5357056701030928, B100
3000,0.561340206185567, B100
3050,0.5853510309278351, B100
3100,0.6071381443298971, B100
3150,0.6261015463917529, B100
3200,0.6416412371134024, B100
3250,0.6531572164948456, B100
3300,0.6600494845360827, B100
3350,0.6617180412371135, B100
3400,0.6575628865979382, B100
3450,0.6469840206185569, B100
3500,0.629381443298969, B100
1500,0.440721649484536, B50
1550,0.41821855670103103, B50
1600,0.39665567010309294, B50
1650,0.37606082474226826, B50
1700,0.35646185567010336, B50
1750,0.3378865979381445, B50
1800,0.32036288659793843, B50
1850,0.3039185567010312, B50
1900,0.2885814432989693, B50
1950,0.27437938144329904, B50
2000,0.261340206185567, B50
2050,0.2494917525773195, B50
2100,0.23886185567010296, B50
2150,0.22947835051546372, B50
2200,0.22136907216494817, B50
2250,0.21456185567010266, B50
2300,0.2090845360824738, B50
2350,0.20496494845360771, B50
2400,0.202230927835051, B50
2450,0.20091030927835, B50
2500,0.201030927835051, B50
2550,0.2025835051546387, B50
2600,0.20541030927835008, B50
2650,0.20931649484536038, B50
2700,0.21410721649484507, B50
2750,0.21958762886597916, B50
2800,0.22556288659793802, B50
2850,0.2318381443298969, B50
2900,0.23821855670103104, B50
2950,0.24450927835051567, B50
3000,0.25051546391752605, B50
3050,0.2560422680412375, B50
3100,0.2608948453608252, B50
3150,0.26487835051546443, B50
3200,0.26779793814433045, B50
3250,0.2694587628865984, B50
3300,0.26966597938144377, B50
3350,0.2682247422680416, B50
3400,0.26494020618556724, B50
3450,0.25961752577319597, B50
3500,0.252061855670103, B50
1500,0.603092783505155, B30
1550,0.5686699097938146, B30
1600,0.5357999999999999, B30
1650,0.5045012242268039, B30
1700,0.47479175257731926, B30
1750,0.44668975515463866, B30
1800,0.42021340206185526, B30
1850,0.3953808634020614, B30
1900,0.37221030927835, B30
1950,0.35071990979381396, B30
2000,0.330927835051546, B30
2050,0.3128522551546388, B30
2100,0.2965113402061853, B30
2150,0.2819232603092782, B30
2200,0.26910618556701027, B30
2250,0.2580782860824743, B30
2300,0.24885773195876304, B30
2350,0.24146269329896927, B30
2400,0.23591134020618587, B30
2450,0.23222184278350552, B30
2500,0.230412371134021, B30
2550,0.2304628221649489, B30
2600,0.23220000000000038, B30
2650,0.23541243556701066, B30
2700,0.23988865979381474, B30
2750,0.24541720360824765, B30
2800,0.2517865979381445, B30
2850,0.25878537371134025, B30
2900,0.26620206185567014, B30
2950,0.273825193298969, B30
3000,0.281443298969072, B30
3050,0.2888449097938142, B30
3100,0.2958185567010307, B30
3150,0.3021527706185564, B30
3200,0.30763608247422647, B30
3250,0.3120570231958758, B30
3300,0.31520412371133977, B30
3350,0.3168659149484532, B30
3400,0.3168309278350512, B30
3450,0.31488769329896876, B30
3500,0.310824742268041, B30
1500,0.419072164948454, B20
1550,0.4095421391752582, B20
1600,0.39879587628866014, B20
1650,0.3870011597938147, B20
1700,0.37432577319587673, B20
1750,0.3609375000000003, B20
1800,0.34700412371134065, B20
1850,0.3326934278350519, B20
1900,0.318173195876289, B20
1950,0.3036112113402065, B20
2000,0.289175257731959, B20
2050,0.2750331185567012, B20
2100,0.26135257731958783, B20
2150,0.2483014175257734, B20
2200,0.23604742268041254, B20
2250,0.22475837628865994, B20
2300,0.2146020618556702, B20
2350,0.205746262886598, B20
2400,0.19835876288659798, B20
2450,0.1926073453608248, B20
2500,0.188659793814433, B20
2550,0.18661662371134022, B20
2600,0.18630927835051547, B20
2650,0.1875019329896907, B20
2700,0.18995876288659794, B20
2750,0.19344394329896905, B20
2800,0.19772164948453605, B20
2850,0.2025560567010309, B20
2900,0.20771134020618554, B20
2950,0.2129516752577319, B20
3000,0.218041237113402, B20
3050,0.22274420103092782, B20
3100,0.2268247422680412, B20
3150,0.2300470360824742, B20
3200,0.23217525773195874, B20
3250,0.23297358247422673, B20
3300,0.23220618556701023, B20
3350,0.2296372422680411, B20
3400,0.22503092783505144, B20
3450,0.2181514175257731, B20
3500,0.208762886597938, B20
1500,0.533505154639175, B10
1550,0.5164801546391753, B10
1600,0.49822268041237117, B10
1650,0.4790157216494847, B10
1700,0.4591422680412374, B10
1750,0.43888530927835084, B10
1800,0.41852783505154695, B10
1850,0.3983528350515469, B10
1900,0.3786432989690726, B10
1950,0.35968221649484583, B10
2000,0.341752577319588, B10
2050,0.3251373711340209, B10
2100,0.3101195876288664, B10
2150,0.29698221649484563, B10
2200,0.28600824742268066, B10
2250,0.2774806701030929, B10
2300,0.2716824742268042, B10
2350,0.26889664948453607, B10
2400,0.26940618556701024, B10
2450,0.27349407216494837, B10
2500,0.281443298969072, B10
2550,0.29340077319587615, B10
2600,0.30896907216494823, B10
2650,0.32761469072164917, B10
2700,0.34880412371133995, B10
2750,0.3720038659793811, B10
2800,0.3966804123711338, B10
2850,0.42230025773195845, B10
2900,0.44832989690721625, B10
2950,0.4742358247422678, B10
3000,0.499484536082474, B10
3050,0.5235425257731957, B10
3100,0.5458762886597937, B10
3150,0.5659523195876288, B10
3200,0.583237113402062, B10
3250,0.5971971649484535, B10
3300,0.6072989690721651, B10
3350,0.6130090206185568, B10
3400,0.6137938144329899, B10
3450,0.6091198453608251, B10
3500,0.598453608247423, B10
1500,0.261340206185567, B00
1550,0.26164948453608244, B00
1600,0.2598556701030927, B00
1650,0.2562061855670102, B00
1700,0.2509484536082473, B00
1750,0.24432989690721632, B00
1800,0.23659793814432975, B00
1850,0.22799999999999981, B00
1900,0.218783505154639, B00
1950,0.2091958762886596, B00
2000,0.199484536082474, B00
2050,0.1898969072164946, B00
2100,0.18068041237113383, B00
2150,0.17208247422680395, B00
2200,0.16435051546391738, B00
2250,0.15773195876288645, B00
2300,0.15247422680412362, B00
2350,0.14882474226804113, B00
2400,0.1470309278350515, B00
2450,0.14734020618556698, B00
2500,0.15, B00
2550,0.15514793814432995, B00
2600,0.1624824742268042, B00
2650,0.1715922680412372, B00
2700,0.18206597938144342, B00
2750,0.1934922680412373, B00
2800,0.2054597938144332, B00
2850,0.21755721649484555, B00
2900,0.2293731958762889, B00
2950,0.24049639175257753, B00
3000,0.250515463917526, B00
3050,0.2590190721649487, B00
3100,0.26559587628866, B00
3150,0.2698345360824745, B00
3200,0.2713237113402064, B00
3250,0.26965206185567026, B00
3300,0.26440824742268054, B00
3350,0.25518092783505153, B00
3400,0.2415587628865979, B00
3450,0.22313041237113393, B00
3500,0.199484536082474, B00
